CODIGO,ALTITUD,CODIGO_S,EMBALSES_SC,Demb arr.(m),Demb ab.(m),Dist.Guadalq.(m),UTMX,UTMY
1.26.14,441,26.5,0,No existe,No existe,7824,492285,4205650
1.26.15,469,26.5,0,No existe,No existe,13138,494384,4202428
1.26.17,464,26.6,0,No existe,No existe,7029,489601,4199066
1.27.5,715,27,5,No existe,99625,35198,496356,4186009
1.27.6,657,27,5,No existe,97492,33262,495661,4187463
1.27.7,685,27,5,No existe,98637,34407,496192,4186629
1.27.10,356,27,5,84912,No existe,5175,479642,4198183
1.27.11,363,27,5,79604,No existe,10483,480680,4195232
1.27.12,377,27,5,73000,No existe,17087,481309,4191075
1.27.15,447,27,5,47683,No existe,41796,491191,4177377
1.27.17,675,27,5,No existe,48634,54884,497723,4179501
1.27.19,607,27,5,No existe,48983,55232,499630,4174432
1.27.20,481,27,5,No existe,43000,49213,496015,4175463
1.27.21,500,27,5,31867,No existe,57649,498814,4171279
1.27.22,524,27,5,23097,No existe,67043,499780,4165989
1.27.35,1125,27,5,No existe,60376,176595,544210,4198008
1.27.39,934,27,5,No existe,33704,152857,534415,4183109
1.27.42,1126,27,5,No existe,4587,172857,533063,4197327
1.27.43,1178,27,5,No existe,6901,175142,533693,4199215
1.27.45,925,27,5,4436,49803,159058,529324,4187652
1.27.46,846,27,5,9723,44614,153869,528644,4183349
1.27.47,961,27,5,No existe,2952,147113,520454,4190414
1.27.48,1209,27,5,No existe,9256,153417,522359,4195500
1.27.52,769,27,5,No existe,27848,145293,535125,4175863
1.27.53,805,27,5,No existe,32989,150434,538514,4177638
1.27.54,805,27,5,No existe,25778,145745,532797,4177580
1.27.55,762,27,5,19997,34340,143595,530593,4177016
1.27.56,716,27,5,28634,26101,134894,529763,4170504
1.27.57,683,27,5,37385,16953,126143,527178,4164939
1.27.58,792,27,5,No existe,22070,131260,524472,4148213
1.27.59,675,27,5,No existe,9768,118958,524629,4158329
1.27.60,716,27,5,No existe,14900,124090,526200,4154903
1.27.61,783,27,5,No existe,16533,128545,515487,4176294
1.27.62,792,27,5,4111,22858,134870,519632,4181339
1.27.63,748,27,5,9822,17147,129159,518254,4177556
1.27.64,660,27,5,23367,3602,115614,519729,4167384
1.27.65,688,27,5,18389,8581,120593,518659,4171031
1.27.66,752,27,5,5378,14966,125238,507972,4175382
1.27.67,693,27,5,10870,9474,119151,508670,4170550
1.27.68,1412,27,5,No existe,10265,146672,506697,4191257
1.27.71,1109,27,5,No existe,7562,143969,510541,4191511
1.27.74,1296,27,5,No existe,36596,141377,493622,4112140
1.27.75,1239,27,5,No existe,35360,140142,485364,4114570
1.27.81,861,27,5,2674,63067,121607,479529,4130857
1.27.82,822,27,5,8560,57258,115797,483455,4133570
1.27.83,986,27,5,No existe,2182,131885,471423,4128040
1.27.84,1182,27,5,No existe,12378,142081,463409,4129586
1.27.89,795,27,5,No existe,26552,106513,481951,4145263
1.27.91,690,27,5,29521,36296,94650,488696,4149782
1.27.93,550,27,5,11555,54098,78694,500005,4157814
1.27.94,568,27,5,4201,61452,85991,502268,4156410
1.27.96,899,27,5,No existe,57523,111019,474093,4160003
1.27.97,575,27,5,No existe,23145,76642,495950,4163575
1.28.1,393,28.1,0,No existe,No existe,9800,475781,4193460
1.28.2,600,28.1,0,No existe,No existe,31790,471492,4179662
1.28.3,794,28.1,0,No existe,No existe,44239,466180,4172172
1.28.4,367,28.2,0,No existe,No existe,6445,459291,4193476
1.28.5,484,28.2,0,No existe,No existe,16558,462078,4186068
1.28.6,386,28.3,0,No existe,No existe,7138,451236,4195164
1.28.7,564,28.3,0,No existe,No existe,16917,452742,4187823
1.28.8,307,28.4,0,No existe,No existe,4331,440884,4196923
1.28.9,364,28.4,0,No existe,No existe,8834,441301,4193533
1.29.2,835,29,1,No existe,2989,65123,438627,4161651
